Change Component Footprint: Designator=J2 Old Footprint=5.08_con New Footprint=5.08_con_1
Change Component Footprint: Designator=J1 Old Footprint=Con_5.08 New Footprint=5.08_con_1
Added Member To Class: ClassName=Sheet1 Member=Component C1 100nF
Added Member To Class: ClassName=Sheet1 Member=Component C2 1000uF/50V
Added Member To Class: ClassName=Sheet1 Member=Component C3 1000uF/50V
Added Member To Class: ClassName=Sheet1 Member=Component C4 1000uF/50V
Added Member To Class: ClassName=Sheet1 Member=Component C5 1uF/50V
Added Member To Class: ClassName=Sheet1 Member=Component C6 470uF/50V
Added Member To Class: ClassName=Sheet1 Member=Component C7 1nF
Added Member To Class: ClassName=Sheet1 Member=Component C8 10uF
Added Member To Class: ClassName=Sheet1 Member=Component C9 10uF
Added Member To Class: ClassName=Sheet1 Member=Component C10 470pF
Added Member To Class: ClassName=Sheet1 Member=Component C11 1nF
Added Member To Class: ClassName=Sheet1 Member=Component C12 1uF/50V
Added Member To Class: ClassName=Sheet1 Member=Component D1 1N5822
Added Member To Class: ClassName=Sheet1 Member=Component J1 con_5.08
Added Member To Class: ClassName=Sheet1 Member=Component J2 con_5.08
Added Member To Class: ClassName=Sheet1 Member=Component L1 100uH
Added Member To Class: ClassName=Sheet1 Member=Component Q1 IRFZ44N
Added Member To Class: ClassName=Sheet1 Member=Component R1 100k_pot
Added Member To Class: ClassName=Sheet1 Member=Component R2 10k
Added Member To Class: ClassName=Sheet1 Member=Component R3 10k
Added Member To Class: ClassName=Sheet1 Member=Component R4 4.7R
Added Member To Class: ClassName=Sheet1 Member=Component R5 1k
Added Member To Class: ClassName=Sheet1 Member=Component R6 0.1R
Added Member To Class: ClassName=Sheet1 Member=Component R7 0.1R
Added Member To Class: ClassName=Sheet1 Member=Component R8 15k
Added Member To Class: ClassName=Sheet1 Member=Component R9 10R
Added Member To Class: ClassName=Sheet1 Member=Component R10 100k
Added Member To Class: ClassName=Sheet1 Member=Component R11 1k
Added Member To Class: ClassName=Sheet1 Member=Component U1 uc3843_SMD
